exp,config,grid,depth,samples,setup_ms,render_ms,wall_ms
E4,C,500,1,4,1349,1583,3114
E4,D,500,1,4,791,993,1942
E4,C,500,5,4,1310,3180,4674
E4,D,500,5,4,792,1832,2792
E4,C,500,10,4,1388,3236,4790
E4,D,500,10,4,766,1994,2919
E4,C,1500,1,4,8550,1680,10503
E4,D,1500,1,4,7470,1046,8718
E4,C,1500,5,4,8442,3220,11916
E4,D,1500,5,4,7132,1814,9160
E4,C,1500,10,4,8580,3396,12230
E4,D,1500,10,4,7220,2022,9459
E4,C,3000,1,4,34720,2167,37399
E4,D,3000,1,4,31299,1337,33034
E4,C,3000,5,4,34836,3998,39359
E4,D,3000,5,4,30378,2226,33020
E4,C,3000,10,4,34326,4355,39228
E4,D,3000,10,4,30587,2473,33456
