rep,scene,size,mode,dist,depth,spawned,prims,bvh_MB,render_ms,total_ms,fwd_rate,note
1,spheres,100,naive,near,5,32,40002,3,203,623,1.7331,rtiow_spheres
1,spheres,100,replicate,near,5,32,40002,3,215,647,1.7352,rtiow_spheres
1,spheres,100,partition,near,5,32,40002,1,255,706,3.0154,rtiow_spheres
1,spheres,100,hybrid,near,5,32,40002,3,303,726,1.7343,rtiow_spheres
1,spheres,100,naive,far,5,28,40002,3,296,687,1.7339,rtiow_spheres
1,spheres,100,replicate,far,5,28,40002,3,306,704,1.7344,rtiow_spheres
1,spheres,100,partition,far,5,28,40002,1,326,746,3.0148,rtiow_spheres
1,spheres,100,hybrid,far,5,28,40002,3,306,704,1.7338,rtiow_spheres
1,spheres,300,naive,near,5,32,360001,23,249,770,1.7381,rtiow_spheres
1,spheres,300,replicate,near,5,32,360001,23,243,846,1.7380,rtiow_spheres
1,spheres,300,partition,near,5,32,360001,11,262,821,3.0437,rtiow_spheres
1,spheres,300,hybrid,near,5,32,360001,23,223,745,1.7388,rtiow_spheres
1,spheres,300,naive,far,5,28,360001,23,409,909,1.7380,rtiow_spheres
1,spheres,300,replicate,far,5,28,360001,23,410,1008,1.7388,rtiow_spheres
1,spheres,300,partition,far,5,28,360001,11,395,923,3.0425,rtiow_spheres
1,spheres,300,hybrid,far,5,28,360001,23,326,819,1.7381,rtiow_spheres
1,spheres,500,naive,near,5,32,1000000,56,269,1000,1.7961,rtiow_spheres
1,spheres,500,replicate,near,5,32,1000000,56,269,1252,1.7967,rtiow_spheres
1,spheres,500,partition,near,5,32,1000000,28,286,1046,3.1224,rtiow_spheres
1,spheres,500,hybrid,near,5,32,1000000,56,226,975,1.7967,rtiow_spheres
1,spheres,500,naive,far,5,28,1000000,56,465,1216,1.7965,rtiow_spheres
1,spheres,500,replicate,far,5,28,1000000,56,364,1345,1.7963,rtiow_spheres
1,spheres,500,partition,far,5,28,1000000,28,405,1133,3.1244,rtiow_spheres
1,spheres,500,hybrid,far,5,28,1000000,56,354,1106,1.7964,rtiow_spheres
1,spheres,800,naive,near,5,32,2560002,165,283,1636,1.8128,rtiow_spheres
1,spheres,800,replicate,near,5,32,2560002,165,250,2301,1.8143,rtiow_spheres
1,spheres,800,partition,near,5,32,2560002,83,302,1748,3.1476,rtiow_spheres
1,spheres,800,hybrid,near,5,32,2560002,165,303,1745,1.8125,rtiow_spheres
1,spheres,800,naive,far,5,28,2560002,165,366,1606,1.8125,rtiow_spheres
1,spheres,800,replicate,far,5,28,2560002,165,364,2334,1.8131,rtiow_spheres
1,spheres,800,partition,far,5,28,2560002,83,386,1712,3.1472,rtiow_spheres
1,spheres,800,hybrid,far,5,28,2560002,165,364,1692,1.8129,rtiow_spheres
1,spheres,1200,naive,near,5,32,5760002,364,276,2878,1.7690,rtiow_spheres
1,spheres,1200,replicate,near,5,32,5760002,364,263,4552,1.7696,rtiow_spheres
1,spheres,1200,partition,near,5,32,5760002,182,334,3117,3.0775,rtiow_spheres
1,spheres,1200,hybrid,near,5,32,5760002,364,265,3078,1.7691,rtiow_spheres
1,spheres,1200,naive,far,5,28,5760002,364,371,2894,1.7694,rtiow_spheres
1,spheres,1200,replicate,far,5,28,5760002,364,331,4468,1.7690,rtiow_spheres
1,spheres,1200,partition,far,5,28,5760002,182,471,3038,3.0783,rtiow_spheres
1,spheres,1200,hybrid,far,5,28,5760002,364,364,3020,1.7693,rtiow_spheres
1,hairball,200,naive,near,5,32,576000,28,416,1105,0.3036,rtiow_hairball
1,hairball,200,replicate,near,5,32,576000,28,423,1319,0.3038,rtiow_hairball
1,hairball,200,partition,near,5,32,576000,17,423,1127,1.0482,rtiow_hairball
1,hairball,200,hybrid,near,5,32,576000,28,370,1060,0.3036,rtiow_hairball
1,hairball,200,naive,far,5,28,576000,28,436,1123,0.3039,rtiow_hairball
1,hairball,200,replicate,far,5,28,576000,28,427,1259,0.3038,rtiow_hairball
1,hairball,200,partition,far,5,28,576000,17,497,1198,1.0478,rtiow_hairball
1,hairball,200,hybrid,far,5,28,576000,28,420,1062,0.3037,rtiow_hairball
1,hairball,800,naive,near,5,32,2304000,112,1233,2684,1.0060,rtiow_hairball
1,hairball,800,replicate,near,5,32,2304000,112,1166,3572,1.0075,rtiow_hairball
1,hairball,800,partition,near,5,32,2304000,69,1278,2799,2.0126,rtiow_hairball
1,hairball,800,hybrid,near,5,32,2304000,112,1447,2967,1.0070,rtiow_hairball
1,hairball,800,naive,far,5,28,2304000,112,1679,3205,1.0069,rtiow_hairball
1,hairball,800,replicate,far,5,28,2304000,112,1400,3749,1.0070,rtiow_hairball
1,hairball,800,partition,far,5,28,2304000,69,1690,3155,2.0119,rtiow_hairball
1,hairball,800,hybrid,far,5,28,2304000,112,1641,3263,1.0070,rtiow_hairball
1,hairball,1600,naive,near,5,32,4608000,224,2343,4963,1.6279,rtiow_hairball
1,hairball,1600,replicate,near,5,32,4608000,224,2911,7583,1.6279,rtiow_hairball
1,hairball,1600,partition,near,5,32,4608000,139,2309,5020,2.8486,rtiow_hairball
1,hairball,1600,hybrid,near,5,32,4608000,224,2170,4946,1.6275,rtiow_hairball
1,hairball,1600,naive,far,5,28,4608000,224,3165,5791,1.6269,rtiow_hairball
1,hairball,1600,replicate,far,5,28,4608000,224,2484,7046,1.6265,rtiow_hairball
1,hairball,1600,partition,far,5,28,4608000,139,3280,5997,2.8490,rtiow_hairball
1,hairball,1600,hybrid,far,5,28,4608000,224,3055,5790,1.6260,rtiow_hairball
1,hairball,3000,naive,near,5,32,8640000,393,3031,7848,2.1268,rtiow_hairball
1,hairball,3000,replicate,near,5,32,8640000,393,2972,11877,2.1276,rtiow_hairball
1,hairball,3000,partition,near,5,32,8640000,246,3483,8385,3.4883,rtiow_hairball
1,hairball,3000,hybrid,near,5,32,8640000,393,3153,8208,2.1269,rtiow_hairball
1,hairball,3000,naive,far,5,28,8640000,393,4452,9220,2.1266,rtiow_hairball
1,hairball,3000,replicate,far,5,28,8640000,393,3433,12289,2.1271,rtiow_hairball
1,hairball,3000,partition,far,5,28,8640000,246,5171,10024,3.4861,rtiow_hairball
1,hairball,3000,hybrid,far,5,28,8640000,393,4324,9249,2.1269,rtiow_hairball
1,hairball,6000,naive,near,5,32,17280000,786,3776,13594,2.5340,rtiow_hairball
1,hairball,6000,replicate,near,5,32,17280000,786,3113,21734,2.5336,rtiow_hairball
1,hairball,6000,partition,near,5,32,17280000,492,4476,14340,3.9572,rtiow_hairball
1,hairball,6000,hybrid,near,5,32,17280000,786,3715,14031,2.5335,rtiow_hairball
1,hairball,6000,naive,far,5,28,17280000,786,5263,14874,2.5326,rtiow_hairball
1,hairball,6000,replicate,far,5,28,17280000,786,3956,22194,2.5333,rtiow_hairball
1,hairball,6000,partition,far,5,28,17280000,492,6725,16352,3.9569,rtiow_hairball
1,hairball,6000,hybrid,far,5,28,17280000,786,5145,15244,2.5335,rtiow_hairball
2,spheres,100,naive,near,5,32,40002,3,203,652,1.7339,rtiow_spheres
2,spheres,100,replicate,near,5,32,40002,3,223,680,1.7340,rtiow_spheres
2,spheres,100,partition,near,5,32,40002,1,249,725,3.0136,rtiow_spheres
2,spheres,100,hybrid,near,5,32,40002,3,303,747,1.7345,rtiow_spheres
2,spheres,100,naive,far,5,28,40002,3,311,697,1.7345,rtiow_spheres
2,spheres,100,replicate,far,5,28,40002,3,305,708,1.7346,rtiow_spheres
2,spheres,100,partition,far,5,28,40002,1,355,768,3.0128,rtiow_spheres
2,spheres,100,hybrid,far,5,28,40002,3,305,691,1.7342,rtiow_spheres
2,spheres,300,naive,near,5,32,360001,23,243,783,1.7375,rtiow_spheres
2,spheres,300,replicate,near,5,32,360001,23,250,870,1.7388,rtiow_spheres
2,spheres,300,partition,near,5,32,360001,11,262,844,3.0418,rtiow_spheres
2,spheres,300,hybrid,near,5,32,360001,23,223,763,1.7376,rtiow_spheres
2,spheres,300,naive,far,5,28,360001,23,418,919,1.7378,rtiow_spheres
2,spheres,300,replicate,far,5,28,360001,23,427,1018,1.7380,rtiow_spheres
2,spheres,300,partition,far,5,28,360001,11,386,900,3.0424,rtiow_spheres
2,spheres,300,hybrid,far,5,28,360001,23,326,816,1.7386,rtiow_spheres
2,spheres,500,naive,near,5,32,1000000,56,275,1031,1.7963,rtiow_spheres
2,spheres,500,replicate,near,5,32,1000000,56,276,1275,1.7962,rtiow_spheres
2,spheres,500,partition,near,5,32,1000000,28,286,1060,3.1228,rtiow_spheres
2,spheres,500,hybrid,near,5,32,1000000,56,260,1034,1.7971,rtiow_spheres
2,spheres,500,naive,far,5,28,1000000,56,450,1169,1.7964,rtiow_spheres
2,spheres,500,replicate,far,5,28,1000000,56,408,1338,1.7958,rtiow_spheres
2,spheres,500,partition,far,5,28,1000000,28,391,1110,3.1246,rtiow_spheres
2,spheres,500,hybrid,far,5,28,1000000,56,356,1060,1.7975,rtiow_spheres
2,spheres,800,naive,near,5,32,2560002,165,290,1655,1.8132,rtiow_spheres
2,spheres,800,replicate,near,5,32,2560002,165,243,2328,1.8135,rtiow_spheres
2,spheres,800,partition,near,5,32,2560002,83,302,1782,3.1476,rtiow_spheres
2,spheres,800,hybrid,near,5,32,2560002,165,303,1779,1.8125,rtiow_spheres
2,spheres,800,naive,far,5,28,2560002,165,369,1632,1.8135,rtiow_spheres
2,spheres,800,replicate,far,5,28,2560002,165,345,2281,1.8136,rtiow_spheres
2,spheres,800,partition,far,5,28,2560002,83,402,1744,3.1476,rtiow_spheres
2,spheres,800,hybrid,far,5,28,2560002,165,350,1714,1.8135,rtiow_spheres
2,spheres,1200,naive,near,5,32,5760002,364,243,2875,1.7690,rtiow_spheres
2,spheres,1200,replicate,near,5,32,5760002,364,263,4602,1.7689,rtiow_spheres
2,spheres,1200,partition,near,5,32,5760002,182,322,3127,3.0777,rtiow_spheres
2,spheres,1200,hybrid,near,5,32,5760002,364,243,3097,1.7697,rtiow_spheres
2,spheres,1200,naive,far,5,28,5760002,364,356,2819,1.7697,rtiow_spheres
2,spheres,1200,replicate,far,5,28,5760002,364,334,4454,1.7696,rtiow_spheres
2,spheres,1200,partition,far,5,28,5760002,182,445,3023,3.0776,rtiow_spheres
2,spheres,1200,hybrid,far,5,28,5760002,364,368,3014,1.7698,rtiow_spheres
2,hairball,200,naive,near,5,32,576000,28,336,1034,0.3037,rtiow_hairball
2,hairball,200,replicate,near,5,32,576000,28,363,1267,0.3040,rtiow_hairball
2,hairball,200,partition,near,5,32,576000,17,444,1159,1.0475,rtiow_hairball
2,hairball,200,hybrid,near,5,32,576000,28,370,1071,0.3038,rtiow_hairball
2,hairball,200,naive,far,5,28,576000,28,439,1055,0.3037,rtiow_hairball
2,hairball,200,replicate,far,5,28,576000,28,443,1268,0.3036,rtiow_hairball
2,hairball,200,partition,far,5,28,576000,17,476,1134,1.0483,rtiow_hairball
2,hairball,200,hybrid,far,5,28,576000,28,422,1055,0.3037,rtiow_hairball
2,hairball,800,naive,near,5,32,2304000,112,1413,2893,1.0070,rtiow_hairball
2,hairball,800,replicate,near,5,32,2304000,112,1138,3569,1.0068,rtiow_hairball
2,hairball,800,partition,near,5,32,2304000,69,1265,2833,2.0116,rtiow_hairball
2,hairball,800,hybrid,near,5,32,2304000,112,1219,2787,1.0069,rtiow_hairball
2,hairball,800,naive,far,5,28,2304000,112,1675,3083,1.0072,rtiow_hairball
2,hairball,800,replicate,far,5,28,2304000,112,1370,3694,1.0075,rtiow_hairball
2,hairball,800,partition,far,5,28,2304000,69,1719,3197,2.0121,rtiow_hairball
2,hairball,800,hybrid,far,5,28,2304000,112,1615,3103,1.0068,rtiow_hairball
2,hairball,1600,naive,near,5,32,4608000,224,2393,5050,1.6271,rtiow_hairball
2,hairball,1600,replicate,near,5,32,4608000,224,2277,6998,1.6273,rtiow_hairball
2,hairball,1600,partition,near,5,32,4608000,139,2397,5160,2.8479,rtiow_hairball
2,hairball,1600,hybrid,near,5,32,4608000,224,2390,5218,1.6289,rtiow_hairball
2,hairball,1600,naive,far,5,28,4608000,224,3133,5696,1.6274,rtiow_hairball
2,hairball,1600,replicate,far,5,28,4608000,224,2413,6977,1.6270,rtiow_hairball
2,hairball,1600,partition,far,5,28,4608000,139,3385,6113,2.8482,rtiow_hairball
