rep,size,mode,frac,dist,depth,spawned,bvh_MB,leaf_MB,coverage,render_ms,total_ms,fwd_rate
1,3000,naive,NA,near,5,64,393,0.00,NA,1380,5773,2.1276
1,3000,replicate,NA,near,5,64,393,0.00,NA,1241,9365,2.1275
1,3000,hybrid,NA,near,5,64,393,0.00,NA,1357,5899,2.1271
1,3000,leafhybrid,0.02,near,5,64,393,1.99,0.470,2639,9131,5.2542
1,3000,leafhybrid,0.05,near,5,64,393,4.99,0.682,2697,9182,5.2519
1,3000,leafhybrid,0.10,near,5,64,393,9.97,0.850,2717,9221,5.2532
1,3000,leafhybrid,0.25,near,5,64,393,24.93,0.988,2663,9216,5.2553
1,3000,leafhybrid,0.50,near,5,64,393,49.85,1.000,2661,9239,5.2553
1,3000,leafhybrid,1.00,near,5,64,393,99.70,1.000,2641,9240,5.2556
1,3000,naive,NA,far,5,57,393,0.00,NA,1788,6231,2.1272
1,3000,replicate,NA,far,5,57,393,0.00,NA,1585,9774,2.1261
1,3000,hybrid,NA,far,5,57,393,0.00,NA,1741,6337,2.1260
1,3000,leafhybrid,0.02,far,5,57,393,1.99,0.470,3390,9910,5.2534
1,3000,leafhybrid,0.05,far,5,57,393,4.99,0.682,3434,9973,5.2557
1,3000,leafhybrid,0.10,far,5,57,393,9.97,0.850,3458,10000,5.2549
1,3000,leafhybrid,0.25,far,5,57,393,24.93,0.988,3422,10013,5.2530
1,3000,leafhybrid,0.50,far,5,57,393,49.85,1.000,3426,10044,5.2549
1,3000,leafhybrid,1.00,far,5,57,393,99.70,1.000,3383,10033,5.2558
1,6000,naive,NA,near,5,64,786,0.00,NA,1611,10606,2.5339
1,6000,replicate,NA,near,5,64,786,0.00,NA,1419,18504,2.5329
1,6000,hybrid,NA,near,5,64,786,0.00,NA,1579,10908,2.5336
1,6000,leafhybrid,0.02,near,5,64,786,3.99,0.635,3116,14289,6.0649
1,6000,leafhybrid,0.05,near,5,64,786,9.97,0.862,3127,14319,6.0639
1,6000,leafhybrid,0.10,near,5,64,786,19.94,0.972,3147,14371,6.0648
1,6000,leafhybrid,0.25,near,5,64,786,49.85,1.000,3113,14399,6.0657
1,6000,leafhybrid,0.50,near,5,64,786,99.70,1.000,3102,14500,6.0655
1,6000,leafhybrid,1.00,near,5,64,786,199.40,1.000,3060,14487,6.0682
1,6000,naive,NA,far,5,57,786,0.00,NA,2044,11097,2.5324
1,6000,replicate,NA,far,5,57,786,0.00,NA,1810,18985,2.5330
1,6000,hybrid,NA,far,5,57,786,0.00,NA,2029,11440,2.5342
1,6000,leafhybrid,0.02,far,5,57,786,3.99,0.635,3964,15170,6.0629
1,6000,leafhybrid,0.05,far,5,57,786,9.97,0.862,4028,15256,6.0644
1,6000,leafhybrid,0.10,far,5,57,786,19.94,0.972,4036,15291,6.0654
